genre,title,url
Basic,人生逆転サロンの活用法,https://www.youtube.com/embed/iFMNUM2Q9mg
Basic,Slackの使い方,https://www.youtube.com/embed/x_KeaEUr3jo
Basic,プログラミングを学習するための基礎知識,https://www.youtube.com/embed/Outcx4StSyU
Git,Gitの基本,https://www.youtube.com/embed/cdz-cs_kYto
Git,Gitを使ったクローン、プルリク、マージの流れについて解説,https://www.youtube.com/embed/JispFS6zeDw
Git,ソースコードをリモートリポジトリにプッシュするときの流れ,https://www.youtube.com/embed/FIfbOSy1Bzg
Ruby,Rubyで使用する主なクラスについて,https://www.youtube.com/embed/BVv2JNnkKfU
Ruby,putsについて,https://www.youtube.com/embed/TFrYp4J6KLY
Ruby,変数について,https://www.youtube.com/embed/U3yqlU7HGnk
Ruby on Rails,Hello World アプリの解説（実践的なコントローラの作り方）,https://www.youtube.com/embed/1jMlnGwHiXo
Ruby on Rails,resourcesを使わないCRUDアプリの解説,https://www.youtube.com/embed/b_NlIEAQkoo
Ruby on Rails,resourcesを使ったCRUDアプリの解説,https://www.youtube.com/embed/QWixLhP62M8
Ruby on Rails,デバッグツールの使い方,https://www.youtube.com/embed/dmkzIosRytI
Ruby on Rails,CSVデータインポートアプリの解説,https://www.youtube.com/embed/KqOoZQoJTG8
Ruby on Rails,Rakeタスクの実装,https://www.youtube.com/embed/EntRvD_KSNA
Ruby on Rails,Deviseを使ったログイン機能の実装,https://www.youtube.com/embed/AIUsm87NyaM
